id,name,short_name,owner_email,tax_id,address1,address2,city,us_state,zipcode,country,external_id,status,reject_reason,reject_detail,owner_id,reviewer_id,organization_id,notes,created_at,updated_at,approved_time_utc,account_code,sales_rep_id,owner_sales_rep_country,owner_sales_rep_office,owner_sales_rep_name,form_active_time,member_office,last_execution_time
691,All Market Singapore,All Market Singapore,mbasir@vitacoco.com,201211060C,"61 Science Park Road, The Galen, #02-03/04",,Singapore,,117525,SG,SGA001278,APPROVED,,,782,44,638,,2019/12/26 上午 01:56:32,2019/12/30 上午 06:22:36,2019/12/30 上午 06:22:36,SGA001278,561,SG,SINGAPORE,"SEBASTIAN HO CHANG TAT (HO, CHANG TAT)",2019/12/26 上午 01:54:58,SINGAPORE,2020/5/18 上午 01:32:21
1142,OCONCA CONTAINER LINE S.A. LTD.,OCONCA,charles.tong@allcargologistics.com,HKO000493,"10TH FLOOR, PACIFIC PLAZA, 410-418 DES VOEUX ROAD WEST",,HONG KONG,,0000,HK,HKO000493,APPROVED,,,1316,44,984,,2020/1/15 下午 12:49:07,2020/1/16 上午 05:43:37,2020/1/16 上午 05:43:37,HKO000493,366,HK,HONG KONG,"RAY CHAN (CHAN, LING)",2020/1/14 上午 04:07:07,HONG KONG,2020/5/18 上午 01:32:21
22,"DENCENT LOGISTICS CO., LTD.1576578811.rejected",DENCENT,tpe@pandalog.com.1576578811.rejected,53220995.1576578811.rejected,"5F,No.209,Section 3,Civic Blvd",,Taipei,,10492,TW,,REJECTED,invalid_name,,50,11,,,2019/12/17 上午 08:13:46,2019/12/17 上午 10:33:31,,,,,,,,,2020/5/18 上午 01:32:21
7,Sealand Shipping Pte Ltd.1576809921.rejected,Sealand,desmond.lee@sealandship.com.sg.1576809921.rejected,201800198H.1576809921.rejected,7030 Ang Mo Kio Ave 5 #06-21 Northstar@AMK,,Singapore,,569880,SG,,REJECTED,invalid_address,,27,11,,,2019/11/15 上午 02:54:10,2019/12/20 上午 02:45:21,,,,,,,,,2020/5/18 上午 01:32:21
4,PT. PORT ALLIANCE.1573716489.rejected,PORT ALLIANCE,irvan.timotius@port-alliance.co.id.1573716489.rejected,02.750.553.6-041.000.1573716489.rejected,"HONEY LADY BUILDING, 6TH FLOOR, ROOM 603, CBD PLUIT, JL.PLUIT SELATAN RAYA NO.1, NORTH JAKARTA, INDONESIA",,JAKARTA,,14440,ID,,REJECTED,others,"Sorry, your company name is not complete. Please correct it. Thanks. ",24,11,,,2019/11/14 上午 06:45:14,2019/11/14 上午 07:28:09,,,,,,,,,2020/5/18 上午 01:32:21
3,PT. Port Alliance.1573712196.rejected,PA-JKT,sudiyanto.hong@port-alliance.co.id.1573712196.rejected,"02.750.553.6-041.000
.1573712196.rejected",Gedung Honey Lady Lt 6 Room 603,"Jl. Pluit Selatan Raya No. 1, Penjaringan, Jakarta Utara",Jakarta,DKI JAKARTA,14440,ID,,REJECTED,others,"Please provide the full company name, thanks. ",23,11,,,2019/11/14 上午 03:56:47,2019/11/14 上午 06:16:37,,,,,,,,,2020/5/18 上午 01:32:21
5,PT. Port Alliance Logistics,PA-JKT,sudiyanto.hong@port-alliance.co.id,02.750.553.6-041.000,Gedung Honey Lady Lt 6 Room 603,"Jl. Pluit Selatan Raya No. 1, Penjaringan, Jakarta Utara",Jakarta,DKI JAKARTA,14440,ID,IDP001290,APPROVED,,,25,11,5,,2019/11/14 上午 06:51:01,2019/11/14 上午 07:29:29,2019/11/14 上午 07:29:28,IDP001290,682,ID,JAKARTA,ADE RAHAYU PUTRA,2019/11/14 上午 06:39:01,JAKARTA,2020/5/18 上午 01:32:21
9,BlueSkye Shipping (S) Pte Ltd,BSE,bse@blue-sky.com.sg,201205770-D,"7030 Ang Mo Kio Ave 5,","#06-21, Northstar@AMK",ANG MO KIO,,569880,SG,SGB000129,APPROVED,,,29,11,7,,2019/11/15 上午 05:04:41,2019/11/15 上午 08:28:17,2019/11/15 上午 08:28:17,SGB000129,578,SG,SINGAPORE,"AMY LIM (LIM,BEE-HOON)",2019/11/15 上午 04:59:23,SINGAPORE,2020/5/18 上午 01:32:21
2,"NEW CHI-FA CUSTOMS  BROKER CO., LTD",NCF,ncftwtpe@ms25.hinet.net,00840779,"9F., No.35, Sec. 1, Chengde Rd., Datong Dist., Taipei City 103, Taiwan (R.O.C.)",,TAIPEI,,10351,TW,TWN000520,APPROVED,,,22,5,3,,2019/11/13 上午 09:20:24,2019/11/14 上午 01:52:22,2019/11/13 上午 10:12:34,TWN000520,446,TW,TAIPEI,"AARON HUNG,(HUNG, SHIH-MIN)",2019/11/13 上午 09:16:43,TAIPEI,2020/5/18 上午 01:32:21
18,PARISI GRAND SMOOTH LOGISTICS LTD.1576485688.rejected,PGSTSN,tsn-jerryfan@parisigs.com.1576485688.rejected,91120000MA06P56350.1576485688.rejected,tsn-jerryfan@parisigs.com,tsn-jessicazhang@parisigs.com,TIANJIN,TIANJIN,300051,CN,,REJECTED,invalid_address,,42,11,,,2019/12/16 上午 03:21:02,2019/12/16 上午 08:41:28,,,14,CN,TIANJIN,"DAVID WAN (WAN, DA-WEI)",,TIANJIN,2020/5/18 上午 01:32:21
16,"PENGUIN LOGISTICS CO., LTD.",PENGUIN ,whitney.shih@penguin-log.com,24504972,"NO.447-7C,SEC.3, WENXIN RD., BEITUN DIST.,",,TAICHUNG,,40667,TW,TWP002062,APPROVED,,,39,11,13,,2019/12/12 上午 02:13:44,2019/12/12 上午 06:51:22,2019/12/12 上午 06:51:22,TWP002062,7,TW,TAICHUNG,"JASON LIU,(LIU, CHIN-FU)",2019/12/12 上午 01:57:51,TAICHUNG,2020/5/18 上午 01:32:21
21,Eternity Int'l Freight Forwarder (SHENZHEN) Ltd.1576570690.rejected,Eternity,joey.yang@eiffsz.com.cn.1576570690.rejected,91440300672968196E.1576570690.rejected,"BLOCK A,26/F
CD UNIT,HONG LONG CENTURY PLAZA","NO.4002,SHENNAN DONG RD.,SHENZHEN",SHENZHEN,GUANGDONG,518000,CN,,REJECTED,others,"Eternity already has one user approved yesterday. Sales has advised customer to use add user function.

",49,44,,,2019/12/17 上午 04:26:16,2019/12/17 上午 08:18:11,,,11,CN,SHENZHEN,"DANNY HE (HE, SHI-YUAN)",,SHENZHEN,2020/5/18 上午 01:32:21
33,"Guang Zhou Anchor Logistics Co., Ltd.",Anchor,neytiri.liang@nchor.com,91440101793487313D,"Profit Plaza No. 76,West Huangpu Road,Guangzho",,GUANGZHOU,GUANGDONG,51000,CN,CNG006516,APPROVED,,,64,14,61,,2019/12/20 上午 02:35:57,2019/12/20 上午 04:30:49,2019/12/20 上午 04:30:49,CNG006516,250,CN,GUANGZHOU,"COCO LIN,(LIN, JING)",2019/12/20 上午 02:35:36,GUANGZHOU,2020/5/18 上午 01:32:21
